# spectral number density of the DustTorus photon field
# -----------------------------------------------
# Parameters:
# mode,Lf,eta,M:		mcbb,1.00,0.10,1.0E+08 Msun
# Ldisc,f_IR,f_cor,f_BLR:	1.2117E+45 erg/s,0.26,0.27,[0.01,0.01]
# Rin,Rout,Rdiss:		3.00E+00,5.00E+02,8.09E+04 R_S
# T_IR,R_cor,b_X,Eup:	200 K,30.00,0.90,500 keV
# -----------------------------------------------
# nu [Hz],dn/de [m-3 eV-1]
1.698243652461308479e+10,1.207576502107912031e+14
1.737800828748928452e+10,1.235645885416062031e+14
1.778279410038464737e+10,1.264366324797423438e+14
1.819700858609513474e+10,1.293752855180459219e+14
1.862087136662385941e+10,1.323820855580023750e+14
1.905460717962753296e+10,1.354586056824355156e+14
1.949844599757538986e+10,1.386064549448547031e+14
1.995262314968360519e+10,1.418272791757732500e+14
2.041737944668997192e+10,1.451227618063283125e+14
2.089296130853493881e+10,1.484946247095343750e+14
2.137962089501672745e+10,1.519446290595097188e+14
2.187761623948979187e+10,1.554745762090180938e+14
2.238721138567751694e+10,1.590863085856725312e+14
2.290867652767170334e+10,1.627817106071526562e+14
2.344228815319304276e+10,1.665627096157919375e+14
2.398832919018857193e+10,1.704312768328940312e+14
2.454708915684381104e+10,1.743894283331423750e+14
2.511886431508914185e+10,1.784392260394725000e+14
2.570395782768181229e+10,1.825827787387766875e+14
2.630267991894682312e+10,1.868222431188194062e+14
2.691534803926198196e+10,1.911598248267410938e+14
2.754228703337430954e+10,1.955977795495341875e+14
2.818382931263699722e+10,2.001384141168781250e+14
2.884031503125833130e+10,2.047840876267214062e+14
2.951209226665593338e+10,2.095372125940053750e+14
3.019951720401203918e+10,2.144002561229223438e+14
3.090295432512757874e+10,2.193757411031083750e+14
3.162277660167525482e+10,2.244662474301686562e+14
3.235936569295407486e+10,2.296744132509397188e+14
3.311311214825013733e+10,2.350029362338889688e+14
3.388441561391105652e+10,2.404545748650606562e+14
3.467368504524373627e+10,2.460321497699717188e+14
3.548133892334787750e+10,2.517385450618648438e+14
3.630780547700022888e+10,2.575767097167269062e+14
3.715352290970709991e+10,2.635496589754790938e+14
3.801893963204570770e+10,2.696604757737457188e+14
3.890451449941738892e+10,2.759123121996071250e+14
3.981071705533878326e+10,2.823083909797410000e+14
4.073802778040005493e+10,2.888520069943527500e+14
4.168693834702204132e+10,2.955465288212980000e+14
4.265795188014747620e+10,3.023954003097876250e+14
4.365158322400451660e+10,3.094021421840731875e+14
4.466835921508392334e+10,3.165703536774962500e+14
4.570881896147480774e+10,3.239037141972882500e+14
4.677351412870680237e+10,3.314059850204911875e+14
4.786300923225048828e+10,3.390810110213742500e+14
4.897788193683094025e+10,3.469327224307060625e+14
5.011872336271320343e+10,3.549651366272322500e+14
5.128613839912210846e+10,3.631823599617068125e+14
5.248074602496252441e+10,3.715885896138063125e+14
5.370317963701016998e+10,3.801881154822461250e+14
5.495408738574697113e+10,3.889853221084122500e+14
5.623413251901903534e+10,3.979846906337937500e+14
5.754399373369942474e+10,4.071908007915008750e+14
5.888436553554222107e+10,4.166083329321246250e+14
6.025595860741867828e+10,4.262420700841835000e+14
6.165950018613069153e+10,4.360969000493773750e+14
6.309573444800136566e+10,4.461778175328527500e+14
6.456542290344713593e+10,4.564899263086528125e+14
6.606934480074073029e+10,4.670384414205094375e+14
6.760829753917883301e+10,4.778286914180999375e+14
6.918309709187382507e+10,4.888661206288670000e+14
7.079457843839346313e+10,5.001562914654688750e+14
7.244359600747816467e+10,5.117048867688881250e+14
7.413102413007038879e+10,5.235177121872016250e+14
7.585775750289648438e+10,5.356006985899686250e+14
7.762471166284672546e+10,5.479599045181538125e+14
7.943282347240515137e+10,5.606015186694628125e+14
8.128305161638635254e+10,5.735318624189207500e+14
8.317637711024293518e+10,5.867573923744698750e+14
8.511380382021287537e+10,6.002847029673175000e+14
8.709635899558267212e+10,6.141205290767046250e+14
8.912509381334852600e+10,6.282717486887121250e+14
9.120108393556430054e+10,6.427453855886473750e+14
9.332543007967175293e+10,6.575486120865045000e+14
9.549925860211557007e+10,6.726887517749071250e+14
9.772372209555233765e+10,6.881732823188690000e+14
9.999999999997055054e+10,7.040098382766433750e+14
1.023292992280452271e+11,7.202062139508221250e+14
1.047128548050590057e+11,7.367703662687852500e+14
1.071519305237289276e+11,7.537104176914897500e+14
1.096478196142859955e+11,7.710346591494853750e+14
1.122018454301630249e+11,7.887515530049616250e+14
1.148153621496541290e+11,8.068697360384947500e+14
1.174897554939179535e+11,8.253980224590588750e+14
1.202264434617054138e+11,8.443454069357505000e+14
1.230268770812013855e+11,8.637210676495232500e+14
1.258925411793790283e+11,8.835343693631186250e+14
1.288249551692747650e+11,9.037948665072183750e+14
1.318256738556011047e+11,9.245123062806931250e+14
1.348962882591247711e+11,9.456966317626772500e+14
1.380384264602468872e+11,9.673579850340036250e+14
1.412537544622327881e+11,9.895067103053918750e+14
1.445439770745490417e+11,1.012153357049563125e+15
1.479108388167759399e+11,1.035308683134280625e+15
1.513561248435748901e+11,1.058983657953106375e+15
1.548816618912010803e+11,1.083189465550437250e+15
1.584893192460631104e+11,1.107937507737170875e+15
1.621810097358435669e+11,1.133239407193116250e+15
1.659586907437053833e+11,1.159107010551980500e+15
1.698243652461224976e+11,1.185552391464569750e+15
1.737800828748843079e+11,1.212587853635475750e+15
1.778279410038377380e+11,1.240225933828317000e+15
1.819700858609424438e+11,1.268479404834255000e+15
1.862087136662294312e+11,1.297361278398184250e+15
1.905460717962659912e+11,1.326884808096702000e+15
1.949844599757443237e+11,1.357063492161570250e+15
1.995262314968262634e+11,1.387911076242056000e+15
2.041737944668897095e+11,1.419441556099131250e+15
2.089296130853391418e+11,1.451669180224122750e+15
2.137962089501567993e+11,1.484608452373994500e+15
2.187761623948871765e+11,1.518274134014993250e+15
2.238721138567641907e+11,1.552681246665941250e+15
2.290867652767057800e+11,1.587845074131991750e+15
2.344228815319189148e+11,1.623781164619134750e+15
2.398832919018739319e+11,1.660505332719271500e+15
2.454708915684260559e+11,1.698033661255079750e+15
2.511886431508791199e+11,1.736382502973363000e+15
2.570395782768055115e+11,1.775568482074968500e+15
2.630267991894553223e+11,1.815608495568747500e+15
2.691534803926066284e+11,1.856519714436390000e+15
2.754228703337296143e+11,1.898319584594290500e+15
2.818382931263561401e+11,1.941025827637905000e+15
2.884031503125691528e+11,1.984656441353342750e+15
2.951209226665448608e+11,2.029229699980152000e+15
3.019951720401055908e+11,2.074764154208516000e+15
3.090295432512606201e+11,2.121278630893191000e+15
3.162277660167370605e+11,2.168792232465738250e+15
3.235936569295248413e+11,2.217324336025645750e+15
3.311311214824851074e+11,2.266894592090082000e+15
3.388441561390939331e+11,2.317522922980980000e+15
3.467368504524203491e+11,2.369229520827265000e+15
3.548133892334613647e+11,2.422034845158903500e+15
3.630780547699844360e+11,2.475959620068444500e+15
3.715352290970527344e+11,2.531024830914591000e+15
