# spectral number density of the Corona photon field
# -----------------------------------------------
# Parameters:
# mode,Lf,eta,M:		mcbb,1.00,0.10,1.0E+08 Msun
# Ldisc,f_IR,f_cor,f_BLR:	1.2117E+45 erg/s,0.26,0.27,[0.01,0.01]
# Rin,Rout,Rdiss:		3.00E+00,5.00E+02,8.09E+04 R_S
# T_IR,R_cor,b_X,Eup:	200 K,30.00,0.90,500 keV
# -----------------------------------------------
# nu [Hz],dn/de [m-3 eV-1]
5.128613839910721600e+16,4.727346927240349650e+08
5.248074602494707200e+16,4.463471308448272347e+08
5.370317963699413600e+16,4.214324953926341534e+08
5.495408738573079200e+16,3.979085691369318962e+08
5.623413251900270400e+16,3.756977241279923320e+08
5.754399373368248000e+16,3.547266655279793143e+08
5.888436553552464000e+16,3.349261897411174774e+08
6.025595860740093600e+16,3.162309560448099971e+08
6.165950018611278400e+16,2.985792709680642486e+08
6.309573444798278400e+16,2.819128847056643963e+08
6.456542290342786400e+16,2.661767988962962329e+08
6.606934480072127200e+16,2.513190851303232312e+08
6.760829753915920000e+16,2.372907135882666111e+08
6.918309709185344000e+16,2.240453912444875538e+08
7.079457843837232800e+16,2.115394091021754742e+08
7.244359600745683200e+16,1.997314979555406570e+08
7.413102413004886400e+16,1.885826922032083273e+08
7.585775750287414400e+16,1.780562012633931041e+08
7.762471166282355200e+16,1.681172881665467024e+08
7.943282347238176000e+16,1.587331549248537719e+08
8.128305161636273600e+16,1.498728343002821505e+08
8.317637711021843200e+16,1.415070876140149236e+08
8.511380382018745600e+16,1.336083082600566745e+08
8.709635899555702400e+16,1.261504306046220213e+08
8.912509381332264000e+16,1.191088439706647098e+08
9.120108393553744000e+16,1.124603114236903787e+08
9.332543007964388800e+16,1.061828930908635259e+08
9.549925860208744000e+16,1.002558737603710294e+08
9.772372209552395200e+16,9.465969452211418748e+07
9.999999999994110400e+16,8.937588822413757443e+07
1.023292992280146720e+17,8.438701853181423247e+07
1.047128548050281760e+17,7.967662238869267702e+07
1.071519305236978080e+17,7.522915568911786377e+07
1.096478196142537120e+17,7.102994198334394395e+07
1.122018454301295200e+17,6.706512404587609321e+07
1.148153621496203040e+17,6.332161814722219110e+07
1.174897554938838240e+17,5.978707087814857811e+07
1.202264434616700000e+17,5.644981838395485282e+07
1.230268770811646400e+17,5.329884787425076216e+07
1.258925411793419520e+17,5.032376128122173995e+07
1.288249551692373440e+17,4.751474094645226002e+07
1.318256738555622880e+17,4.486251722307077795e+07
1.348962882590844960e+17,4.235833788631017506e+07
1.380384264602062240e+17,3.999393925154276192e+07
1.412537544621917760e+17,3.776151890447619557e+07
1.445439770745064960e+17,3.565370995351845771e+07
1.479108388167317760e+17,3.366355671934948862e+07
1.513561248435303360e+17,3.178449178147877008e+07
1.548816618911560960e+17,3.001031430604028702e+07
1.584893192460164480e+17,2.833516958330434933e+07
1.621810097357951360e+17,2.675352970738521218e+07
1.659586907436565120e+17,2.526017533438949659e+07
1.698243652460731840e+17,2.385017845880578086e+07
1.737800828748331520e+17,2.251888615129612014e+07
1.778279410037846400e+17,2.126190520422745124e+07
1.819700858608888320e+17,2.007508763427560776e+07
1.862087136661753600e+17,1.895451699425864220e+07
1.905460717962098560e+17,1.789649544902776927e+07
1.949844599756861120e+17,1.689753157276898995e+07
1.995262314967674880e+17,1.595432882744817808e+07
2.041737944668304000e+17,1.506377468437731080e+07
2.089296130852776000e+17,1.422293035300225578e+07
